Sekolah,✓,∑,% AI,☑ PLC
ABD1089-SEKOLAH JENIS KEBANGSAAN (TAMIL) MUKIM PUNDUT,5,15,33.33,Belum
AEA1115-SEKOLAH MENENGAH KEBANGSAAN CHANGKAT BERUAS,5,36,13.89,Belum
ABA1024-SEKOLAH KEBANGSAAN TELAGA NENAS,4,13,30.77,Belum
ABA1026-SEKOLAH KEBANGSAAN KAYAN,4,17,23.53,Belum
ABC1046-SEKOLAH JENIS KEBANGSAAN (CINA) HWA LIAN (1),4,16,25,Belum
ABC1049-SEKOLAH JENIS KEBANGSAAN (CINA) PING MIN,4,15,26.67,Belum
ABD1075-SEKOLAH JENIS KEBANGSAAN (TAMIL) PANGKOR,4,11,36.36,Belum
ABD1084-SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG CASHWOOD,4,11,36.36,Belum
ABA1007-SEKOLAH KEBANGSAAN PANCHOR,3,16,18.75,Belum
ABA1017-SEKOLAH KEBANGSAAN LEKIR,3,37,8.11,Belum
ABD1087-SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SG WANGI II,3,17,17.65,Belum
ABD1091-SEKOLAH JENIS KEBANGSAAN (TAMIL) KAMPUNG KAYAN,3,9,33.33,Belum
